gtfsId,name,lat,lon,location,zoneId,mode,duration,walk_distance
HSL:9214201,Myyraksensuo,60.327397,25.12172,"60.327397, 25.12172",C,BUS,44.0,437.0
HSL:9214202,Myyraksensuo,60.327533,25.121072,"60.327533, 25.121072",C,BUS,43.0,360.0
HSL:9214203,Näkinkuja,60.337124,25.125071,"60.337124, 25.125071",C,BUS,46.0,505.0
HSL:9214204,Peltotie,60.33975,25.12525,"60.33975, 25.12525",C,BUS,45.0,360.0
HSL:9214205,Myyras,60.329634,25.133571,"60.329634, 25.133571",C,BUS,46.0,342.0
HSL:1600201,Westerkulla,60.2431,25.14191,"60.2431, 25.14191",B,BUS,41.0,926.0
HSL:9214206,Myyras,60.328901,25.133516,"60.328901, 25.133516",C,BUS,44.0,260.0
HSL:1391190,Laukkipäänpolku,60.26154,24.99091,"60.26154, 24.99091",B,BUS,32.0,549.0
HSL:1600202,Westerkulla,60.24422,25.142975,"60.24422, 25.142975",B,BUS,43.0,1049.0
HSL:1391191,Laukkipäänpolku,60.26109,24.99015,"60.26109, 24.99015",B,BUS,31.0,468.0
HSL:9214208,Viirilä,60.32346,25.13657,"60.32346, 25.13657",C,BUS,43.0,263.0
HSL:9214209,Viirilä,60.324263,25.137407,"60.324263, 25.137407",C,BUS,45.0,350.0
HSL:2111229,Läkkisepänkuja,60.22095,24.80986,"60.22095, 24.80986",B,BUS,22.0,722.0
HSL:1282100,Männikkötie,60.225264,24.929829,"60.225264, 24.929829",B,BUS,27.0,475.0
HSL:2111227,Leppävaaran asema,60.21927,24.8107,"60.21927, 24.8107",B,BUS,20.0,558.0
HSL:2111228,Läkkisepänkuja,60.22132,24.81134,"60.22132, 24.81134",B,BUS,21.0,672.0
HSL:1282102,Paanutie,60.23011,24.9378,"60.23011, 24.9378",B,BUS,31.0,331.0
HSL:2111225,Leppävaaran asema,60.21929,24.81115,"60.21929, 24.81115",B,BUS,19.0,530.0
HSL:2111226,Ajurinkatu,60.2267,24.81272,"60.2267, 24.81272",B,BUS,28.0,1253.0
HSL:1282103,Maunula,60.23179,24.93385,"60.23179, 24.93385",B,BUS,33.0,392.0
HSL:1282104,Maunula,60.23141,24.9341,"60.23141, 24.9341",B,BUS,30.0,263.0
HSL:2111223,Leppävaaran asema,60.2192,24.812,"60.2192, 24.812",B,BUS,19.0,500.0
HSL:2111224,Leppävaaran asema,60.219213,24.811616,"60.219213, 24.811616",B,BUS,19.0,521.0
HSL:1282105,Männikkötie,60.226482,24.926422,"60.226482, 24.926422",B,BUS,30.0,597.0
HSL:1282106,Pirjontie,60.23456,24.9306,"60.23456, 24.9306",B,BUS,26.0,540.0
HSL:2111221,Timpurinkuja,60.222908,24.814385,"60.222908, 24.814385",B,BUS,23.0,802.0
HSL:1282107,Männikkötie,60.226491,24.926345,"60.226491, 24.926345",B,BUS,30.0,600.0
HSL:1282108,Rajametsäntie,60.227075,24.933922,"60.227075, 24.933922",B,BUS,30.0,721.0
HSL:1040234,Lapinrinne,60.16627,24.92699,"60.16627, 24.92699",A,BUS,8.0,141.0
HSL:1040231,Lapinrinne,60.16622,24.92673,"60.16622, 24.92673",A,BUS,8.0,151.0
HSL:1040233,Lapinrinne,60.16594,24.92659,"60.16594, 24.92659",A,BUS,8.0,119.0
HSL:2111218,Vallikatu,60.22868,24.81475,"60.22868, 24.81475",B,BUS,32.0,1529.0
HSL:2111219,Viserrystie,60.230871,24.812568,"60.230871, 24.812568",B,BUS,33.0,497.0
HSL:2111216,Rautakiskonkuja,60.22881,24.81648,"60.22881, 24.81648",B,BUS,33.0,373.0
HSL:2111217,Vallikatu,60.22831,24.81361,"60.22831, 24.81361",B,BUS,31.0,1457.0
HSL:2111214,Ratsukatu,60.22123,24.80775,"60.22123, 24.80775",B,BUS,24.0,849.0
HSL:2111215,Rautakiskonkuja,60.22864,24.81755,"60.22864, 24.81755",B,BUS,34.0,1621.0
HSL:2111212,Veräjäpelto,60.2232,24.81071,"60.2232, 24.81071",B,BUS,24.0,896.0
HSL:2111213,Veräjäpelto,60.22433,24.81044,"60.22433, 24.81044",B,BUS,26.0,1055.0
HSL:2111210,Gransinmäki,60.22268,24.80355,"60.22268, 24.80355",B,BUS,27.0,1133.0
HSL:2111211,Gransinmäki,60.22155,24.80653,"60.22155, 24.80653",B,BUS,25.0,957.0
HSL:1294108,Niitynperäntie,60.231454,24.874598,"60.231454, 24.874598",B,BUS,26.0,959.0
HSL:2111209,Leppävaaran keskus,60.22007,24.81252,"60.22007, 24.81252",B,BUS,19.0,512.0
HSL:1294107,Niitynperäntie,60.23227,24.872952,"60.23227, 24.872952",B,BUS,28.0,1094.0
HSL:2111207,Vallikuja,60.22748,24.82092,"60.22748, 24.82092",B,BUS,34.0,1660.0
HSL:1294106,Niittykulmantie,60.232502,24.877133,"60.232502, 24.877133",B,BUS,24.0,826.0
HSL:2111208,Leppävaaran keskus,60.21982,24.81298,"60.21982, 24.81298",B,BUS,18.0,469.0
HSL:1294105,Niittykulmantie,60.232475,24.877616,"60.232475, 24.877616",B,BUS,23.0,794.0
HSL:1294104,Laurinmäenkuja,60.232737,24.882643,"60.232737, 24.882643",B,BUS,22.0,692.0
HSL:2111205,Leppävaaran keskus,60.22011,24.8119,"60.22011, 24.8119",B,BUS,20.0,547.0
HSL:2111206,Vallikuja,60.22801,24.81957,"60.22801, 24.81957",B,BUS,33.0,375.0
HSL:1294103,Laurinmäenkuja,60.232546,24.883469,"60.232546, 24.883469",B,BUS,21.0,628.0
HSL:1294102,Killinkipolku,60.22923,24.884431,"60.22923, 24.884431",B,BUS,19.0,487.0
HSL:2111203,Hakkukuja,60.22452,24.812757,"60.22452, 24.812757",B,BUS,25.0,996.0
HSL:2111204,Leppävaaran keskus,60.21989,24.81219,"60.21989, 24.81219",B,BUS,21.0,659.0
HSL:1294101,Killinkipolku,60.229233,24.884949,"60.229233, 24.884949",B,BUS,19.0,507.0
HSL:2111201,Porarinkatu,60.225297,24.822421,"60.225297, 24.822421",B,BUS,29.0,1282.0
HSL:2111202,Vallityöläisenpolku,60.22735,24.823286,"60.22735, 24.823286",B,BUS,32.0,535.0
HSL:2111200,Gransinmäenportti,60.22015,24.80185,"60.22015, 24.80185",B,BUS,26.0,375.0
HSL:1600231,Kapteenintie,60.260022,25.215462,"60.260022, 25.215462",C,BUS,43.0,542.0
HSL:1130184,Väinämöisenkatu,60.170472,24.918676,"60.170472, 24.918676",A,BUS,16.0,797.0
